player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
418,25-26-champions-league-galatasaray-vs-manchester-city,37,0,2,1,0.03,0.27,0,5,0,3,38,14,0.0,2.0,2,0,0.0,0,0.0,0,2,2,0,1,0,0,7,4,7,0.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,25-26-champions-league-galatasaray-vs-manchester-city,82,1,0,2,0.21,0.18,1,2,0,5,67,48,0.0,1.0,9,0,0.0,2,0.0,0,0,8,0,0,0,1,2,3,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,25-26-champions-league-galatasaray-vs-manchester-city,90,0,0,0,0.0,0.0,0,0,0,0,41,28,0.0,0.0,1,0,0.0,7,0.0,0,0,14,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,0,0.48,0.48,1,28,7,0.0,1,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,25-26-champions-league-galatasaray-vs-manchester-city,90,0,0,1,0.12,0.3,1,4,1,4,84,58,0.0,3.0,1,1,0.0,1,0.0,0,1,5,0,3,2,0,7,4,5,0.0,2,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.48,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,25-26-champions-league-galatasaray-vs-manchester-city,90,1,0,2,0.67,0.07,1,0,1,3,24,9,0.0,1.0,2,0,0.0,0,0.0,0,0,2,0,0,0,0,3,1,2,0.0,1,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.32,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,25-26-champions-league-galatasaray-vs-manchester-city,90,0,0,0,0.0,0.03,0,0,0,0,88,74,0.0,1.0,4,0,0.0,4,0.0,0,1,1,0,1,0,1,4,1,4,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,25-26-champions-league-galatasaray-vs-manchester-city,90,0,0,0,0.0,0.01,0,0,0,0,59,32,0.0,0.0,6,1,0.0,0,0.0,0,1,5,0,4,4,0,4,4,2,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,25-26-champions-league-galatasaray-vs-manchester-city,90,0,0,1,0.05,0.04,1,0,0,0,94,71,0.0,0.0,17,0,0.0,3,0.0,0,2,5,0,2,2,1,5,6,1,0.0,4,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.04,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,25-26-champions-league-galatasaray-vs-manchester-city,90,0,0,0,0.0,0.01,0,0,0,0,65,51,0.0,0.0,6,0,0.0,4,0.0,0,1,1,0,4,2,0,2,2,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,25-26-champions-league-galatasaray-vs-manchester-city,90,0,0,0,0.0,0.0,0,0,0,0,48,34,0.0,0.0,2,0,0.0,3,0.0,0,1,4,0,4,1,0,1,2,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,25-26-champions-league-galatasaray-vs-manchester-city,23,0,0,0,0.0,0.02,0,1,0,1,12,6,0.0,0.0,2,0,0.0,0,0.0,0,1,0,0,1,0,0,2,0,1,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,25-26-champions-league-galatasaray-vs-manchester-city,67,0,0,1,0.26,0.0,1,0,0,3,21,6,0.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,1,5,6,5,0.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.17,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,25-26-champions-league-galatasaray-vs-manchester-city,53,0,0,2,0.3,0.01,0,0,0,4,28,19,0.0,0.0,1,0,0.0,1,0.0,0,0,2,0,0,0,1,1,4,1,0.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,25-26-champions-league-galatasaray-vs-manchester-city,8,0,0,0,0.0,0.06,0,2,0,1,13,10,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,2,2,3,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,25-26-champions-league-chelsea-vs-napoli,90,2,0,4,0.88,0.02,2,2,1,3,50,20,0.0,0.0,1,0,0.0,0,0.0,0,2,0,0,0,0,0,9,6,9,0.0,0,0.0,5,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,1.09,2,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,25-26-champions-league-chelsea-vs-napoli,45,0,2,1,0.02,0.02,0,0,0,0,34,20,0.0,3.0,1,0,0.0,0,0.0,0,1,3,0,0,0,1,1,4,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,25-26-champions-league-chelsea-vs-napoli,90,1,0,3,0.87,0.05,1,0,0,1,98,76,0.0,1.0,8,0,0.0,2,0.0,0,0,8,0,1,1,0,3,5,3,0.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.92,1,0,90,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,25-26-champions-league-chelsea-vs-napoli,90,0,0,0,0.0,0.0,0,0,0,0,90,70,0.0,0.0,0,0,0.0,0,0.0,0,4,8,0,5,2,2,4,4,3,0.0,1,0.0,3,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,25-26-champions-league-chelsea-vs-napoli,90,0,0,1,0.07,0.03,0,1,0,0,92,69,0.0,0.0,7,0,0.0,2,0.0,0,2,6,1,1,1,1,2,1,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,25-26-champions-league-chelsea-vs-napoli,90,0,0,0,0.0,0.01,0,0,0,0,69,52,0.0,0.0,7,0,0.0,3,0.0,0,1,1,0,2,1,1,4,2,4,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,25-26-champions-league-chelsea-vs-napoli,90,0,0,0,0.0,0.0,0,0,0,0,55,33,0.0,0.0,4,0,0.0,7,0.0,0,0,5,0,2,0,0,1,0,0,0.0,1,0.0,0,0,3,2,1.84,-0.16,0,33,7,0.0,1,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,25-26-champions-league-chelsea-vs-napoli,90,0,0,0,0.0,0.02,0,1,0,0,83,74,0.0,0.0,4,0,0.0,1,0.0,0,1,9,0,1,0,1,2,4,2,0.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,25-26-champions-league-chelsea-vs-napoli,59,0,0,0,0.0,0.06,0,0,0,1,34,22,0.0,1.0,2,1,0.0,0,0.0,0,1,3,0,2,0,0,1,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,25-26-champions-league-chelsea-vs-napoli,31,0,0,0,0.0,0.0,0,0,0,0,23,19,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,3,2,0,1,0,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,25-26-champions-league-chelsea-vs-napoli,59,0,0,1,0.01,0.02,1,0,0,1,66,58,0.0,0.0,5,0,0.0,0,0.0,0,1,1,0,0,0,0,3,3,1,0.0,2,0.0,0,4,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.07,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,25-26-champions-league-chelsea-vs-napoli,45,0,0,1,0.15,0.55,1,0,1,4,21,16,0.0,1.0,1,1,0.0,0,0.0,0,0,1,0,0,0,1,0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.49,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,25-26-champions-league-chelsea-vs-napoli,16,0,0,0,0.0,0.0,0,0,0,0,15,10,0.0,0.0,1,0,0.0,0,0.0,0,1,2,0,0,0,0,1,2,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,25-26-champions-league-chelsea-vs-napoli,74,0,0,0,0.0,0.01,0,0,0,1,29,16,0.0,0.0,3,0,0.0,0,0.0,0,0,2,0,0,0,1,1,6,1,0.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,25-26-champions-league-chelsea-vs-napoli,30,0,0,0,0.0,0.02,0,0,0,1,18,12,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,25-26-champions-league-chelsea-vs-napoli,1,0,0,0,0.0,0.0,0,0,0,0,2,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,25-26-champions-league-kairat-almaty-vs-arsenal,77,1,1,5,2.02,0.1,3,2,4,11,27,8,0.0,3.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,4,7,3,0.0,1,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.55,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,25-26-champions-league-kairat-almaty-vs-arsenal,77,1,0,4,1.2,0.31,2,5,1,9,55,22,0.0,4.0,0,3,0.0,1,0.0,0,1,2,0,0,0,0,7,7,6,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,1.3,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,25-26-champions-league-kairat-almaty-vs-arsenal,90,0,0,2,0.07,0.31,0,3,0,5,77,52,0.0,6.0,9,0,0.0,0,0.0,0,0,12,0,0,0,0,5,4,4,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,25-26-champions-league-kairat-almaty-vs-arsenal,45,1,1,1,0.07,0.86,1,1,0,7,30,15,0.0,3.0,5,0,0.0,0,0.0,0,0,1,0,0,0,0,3,5,2,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.13,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,25-26-champions-league-kairat-almaty-vs-arsenal,90,0,1,0,0.0,0.64,0,1,0,3,69,47,0.0,1.0,11,0,0.0,2,0.0,0,3,6,0,1,1,0,5,3,1,0.0,4,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,25-26-champions-league-kairat-almaty-vs-arsenal,90,0,0,5,0.17,0.32,2,7,0,11,73,32,0.0,0.0,2,1,0.0,0,0.0,0,1,1,0,0,0,2,11,7,9,0.0,2,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.1,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,25-26-champions-league-kairat-almaty-vs-arsenal,90,0,0,0,0.0,0.04,0,0,0,0,89,77,0.0,0.0,14,0,0.0,1,0.0,0,1,6,0,6,4,0,6,2,3,0.0,3,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25-26-champions-league-kairat-almaty-vs-arsenal,89,0,0,1,0.05,0.11,0,0,0,1,90,69,0.0,1.0,14,0,0.0,0,0.0,0,0,5,0,1,0,0,8,2,6,0.0,2,0.0,4,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,25-26-champions-league-kairat-almaty-vs-arsenal,90,0,0,1,0.03,0.54,0,0,0,2,83,65,0.0,2.0,15,0,0.0,3,0.0,0,0,2,0,2,2,1,3,6,1,0.0,2,0.0,0,4,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,25-26-champions-league-kairat-almaty-vs-arsenal,45,0,0,3,0.2,0.06,2,1,0,5,55,31,0.0,1.0,7,0,0.0,1,0.0,0,0,1,0,0,0,0,2,3,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.14,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,25-26-champions-league-kairat-almaty-vs-arsenal,45,0,0,1,0.01,0.01,0,1,0,1,45,35,0.0,0.0,2,0,0.0,0,0.0,0,2,4,0,2,1,0,2,2,1,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,25-26-champions-league-kairat-almaty-vs-arsenal,45,0,0,0,0.0,0.01,0,0,0,1,45,42,0.0,0.0,4,0,0.0,1,0.0,0,0,2,0,0,0,0,2,0,1,0.0,1,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25-26-champions-league-kairat-almaty-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,15,13,0.0,0.0,1,0,0.0,1,0.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2,1.8,-0.2,1,13,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,25-26-champions-league-kairat-almaty-vs-arsenal,13,0,0,2,0.26,0.0,1,0,2,3,7,3,0.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.2,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,25-26-champions-league-qarabag-fk-vs-liverpool,90,0,3,4,0.33,0.13,1,0,2,4,83,64,0.0,3.0,18,0,0.0,6,0.0,0,1,2,1,4,2,0,4,1,0,0.0,4,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.07,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
