id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
806,a,,,4.0,676,50.0,0,0.0,0,0.0,0.0,777,88.0,0,0,0.0,583.0,69.0,0,0,0.0,483.0,61.0,0.0,0.0,0.0,398,8,103,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,69.0,0.0,565.0,57.0,0.0,528.0,43.0,0.0,575.0,69.0,,,,26,,Christos,Mandas,Mandas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
756,a,,,4.5,515,318.0,0,0.0,0,0.0,0.0,743,315.0,0,0,0.0,751.0,319.0,0,0,0.0,696.0,286.0,0.0,0.0,0.0,1512,19,913,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,318.0,0.0,744.0,318.0,0.0,728.0,312.0,0.0,750.0,318.0,,,,26,,Malcom,DaCosta,DaCosta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
782,a,,,4.0,658,40.0,0,0.0,0,0.0,0.0,686,80.0,0,0,0.0,570.0,62.0,0,0,0.0,469.0,53.0,0.0,0.0,0.0,2017,50,531,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,62.0,0.0,549.0,47.0,0.0,511.0,33.0,0.0,562.0,62.0,,,,26,,Fraser,Forster,Forster,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
799,a,,,4.5,512,315.0,0,0.0,0,0.0,0.0,787,346.0,0,0,0.0,749.0,317.0,0,0,0.0,693.0,283.0,0.0,0.0,0.0,376,15,87,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,316.0,0.0,742.0,316.0,0.0,725.0,309.0,0.0,748.0,316.0,,,,26,,Charlie,Stevens,Stevens,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
294,a,100.0,100.0,4.2,625,141.0,0,0.0,-3,3.0,0.1,485,174.0,3,0,1.0,457.0,170.0,0,10,0.0,537.0,224.0,0.0,0.7,0.0,5883,45,17267,22,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.96,0.0,622.0,246.0,0.1,480.0,175.0,0.0,581.0,243.0,0.0,624.0,246.0,,,,26,,Séamus,Coleman,Coleman,,,11,0,0,0,0,0,0,0,0,0,0,1,0,,,,0.0,0.0,0.0,8.18,0.0,0,0,1
652,a,,,4.3,614,360.0,0,0.0,-2,2.0,1.3,166,53.0,0,0,0.0,654.0,250.0,0,0,0.0,575.0,202.0,0.0,0.0,0.0,191051,449,232895,352,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,240.0,0.0,640.0,245.0,0.0,612.0,230.0,0.0,646.0,242.0,,,,26,,Enso,González Medina,Gonzalez,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
653,u,0.0,0.0,4.5,424,254.0,0,0.0,0,0.0,0.0,660,267.0,0,0,0.0,694.0,272.0,0,0,0.0,625.0,229.0,0.0,0.0,0.0,0,0,5711,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,266.0,0.0,683.0,269.0,0.0,660.0,257.0,0.0,690.0,268.0,,,,26,,Joe,Hodge,Hodge,Signed by CD Tondela,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
783,a,,,5.5,135,83.0,0,0.0,0,0.0,0.1,500,177.0,23,2,3.3,147.0,66.0,4,119,4.2,38.0,20.0,0.8,4.2,0.0,16440,173,5860,160,4.2,4.2,0.61,1.35,1.96,7.34,0.1,0.22,0.32,1.19,114.2,322.0,145.0,178.6,158.0,110.0,61.0,289.0,156.0,35.2,290.0,143.0,,,,26,,Pascal,Groß,Groß,,,556,1,0,1,5,0,0,0,2,0,0,6,55,,,,0.0,0.16,0.81,0.97,8.9,9,18,28
795,a,,,4.5,493,302.0,0,0.0,0,0.0,0.0,780,339.0,3,1,1.5,405.0,177.0,0,9,0.6,307.0,132.0,0.1,0.7,0.0,419,19,102,4,0.6,0.6,0.0,0.03,0.03,0.99,0.0,0.03,0.03,1.13,6.0,463.0,207.0,3.8,444.0,214.0,0.0,711.0,298.0,1.0,475.0,219.0,,,,26,,Harry,Howell,Howell,,,79,0,0,0,2,0,0,0,0,0,0,1,4,,,,0.0,0.0,2.28,1.14,4.56,0,2,2
341,a,,,3.9,738,68.0,0,0.0,-1,1.0,2.3,123,16.0,23,1,2.3,289.0,25.0,0,118,2.6,139.0,12.0,0.7,5.9,0.0,201227,2134,257556,347,2.6,2.6,0.0,0.03,0.03,12.59,0.0,0.0,0.0,1.26,222.8,223.0,22.0,0.0,513.0,21.0,0.0,474.0,7.0,22.4,348.0,22.0,,,,26,,Karl,Darlow,Darlow,,,900,0,0,1,16,0,0,0,0,0,27,10,59,,,,2.7,0.1,1.6,1.0,0.0,0,13,96
342,a,100.0,100.0,4.4,529,108.0,0,0.0,-1,1.0,0.2,383,141.0,65,4,2.7,236.0,93.0,0,171,4.0,41.0,14.0,0.9,14.8,0.0,32491,728,36393,102,4.0,4.0,1.79,1.12,2.91,30.73,0.08,0.05,0.13,1.37,300.6,171.0,71.0,191.0,143.0,36.0,165.0,143.0,28.0,65.8,155.0,50.0,,,,26,,Jayden,Bogle,Bogle,,,2020,1,3,4,38,0,0,0,4,0,0,23,168,,,,0.0,0.18,1.69,1.02,5.52,47,77,101
699,a,100.0,100.0,4.9,317,197.0,0,0.0,-1,1.0,0.1,515,187.0,18,3,1.6,386.0,169.0,0,123,1.4,242.0,103.0,0.3,3.7,0.0,21550,165,16943,58,1.4,1.4,0.23,1.04,1.27,6.96,0.04,0.17,0.21,1.11,85.8,350.0,157.0,167.0,169.0,115.0,49.0,306.0,161.0,30.2,312.0,153.0,,,,26,,Douglas Luiz,Soares de Paulo,Douglas Luiz,,,563,0,1,1,9,0,0,0,2,0,0,8,68,,,,0.0,0.16,1.44,1.28,10.87,15,17,36
701,u,0.0,0.0,4.0,713,191.0,0,0.0,0,0.0,0.1,535,190.0,0,0,0.0,613.0,230.0,0,0,0.0,515.0,206.0,0.0,0.0,0.0,8943,0,10625,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,230.0,0.0,595.0,230.0,0.0,559.0,225.0,0.0,605.0,230.0,,,,26,,Triston,Rowe,Rowe,has joined Annecy on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
702,a,,,4.4,569,341.0,0,0.0,-1,1.0,0.1,537,195.0,1,0,1.0,470.0,210.0,0,3,0.0,612.0,223.0,0.0,0.2,0.0,9546,45,8652,16,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,5.06,0.0,677.0,260.0,0.3,477.0,231.0,0.0,647.0,251.0,0.0,679.0,262.0,,,,26,,Bradley,Burrowes,Burrowes,,,16,0,0,0,1,0,0,0,0,0,0,0,1,,,,0.0,0.0,5.62,0.0,5.62,0,0,1
703,a,,,3.9,775,91.0,0,0.0,-1,1.0,0.6,234,31.0,0,0,0.0,563.0,59.0,0,0,0.0,461.0,50.0,0.0,0.0,0.0,85705,285,38203,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,59.0,0.0,542.0,44.0,0.0,503.0,30.0,0.0,555.0,59.0,,,,26,,Sam,Proctor,Proctor,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
186,i,0.0,0.0,4.4,525,105.0,0,0.0,-1,1.0,0.0,650,228.0,0,0,0.0,663.0,251.0,0,0,0.0,586.0,237.0,0.0,0.0,0.0,1475,8,9041,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,251.0,0.0,649.0,251.0,0.0,622.0,250.0,0.0,655.0,251.0,,,,26,,Connor,Roberts,Roberts,Achilles injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
344,a,100.0,100.0,3.9,755,218.0,0,0.0,-1,1.0,0.4,275,102.0,46,3,3.5,114.0,41.0,2,152,0.6,302.0,108.0,0.2,11.8,0.0,99135,112,76050,173,0.6,0.6,0.48,0.5,0.98,20.55,0.04,0.04,0.08,1.73,281.2,182.0,75.0,38.0,353.0,122.0,131.0,189.0,44.0,45.0,242.0,82.0,,,,26,,Jaka,Bijol,Bijol,,,1072,1,2,1,20,0,0,0,1,0,0,12,122,,,,0.0,0.08,1.68,1.01,9.32,15,96,39
193,a,100.0,100.0,3.9,758,220.0,0,0.0,-1,1.0,0.1,437,161.0,30,4,3.0,180.0,69.0,1,129,2.4,151.0,54.0,0.6,7.7,0.0,16425,47,12180,67,2.4,2.4,0.22,0.47,0.69,16.39,0.02,0.05,0.07,1.85,183.2,258.0,105.0,64.9,295.0,96.0,27.0,347.0,113.0,27.4,322.0,109.0,,,,26,,Bashir,Humphreys,Humphreys,,,797,0,2,1,17,0,0,0,3,0,0,8,75,,,,0.0,0.11,1.92,0.9,8.47,17,58,31
194,i,0.0,0.0,3.9,754,217.0,0,0.0,-1,1.0,0.1,562,202.0,0,0,0.0,546.0,199.0,0,0,0.0,444.0,172.0,0.0,0.0,0.0,1716,4,15234,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,199.0,0.0,525.0,199.0,0.0,486.0,191.0,0.0,538.0,199.0,,,,26,,Jordan,Beyer,Jordan,Hamstring injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
195,a,100.0,100.0,3.8,807,256.0,0,0.0,-2,2.0,0.3,315,116.0,16,0,1.5,399.0,144.0,0,71,1.4,239.0,87.0,0.4,4.2,0.0,45158,234,32884,139,1.4,1.4,0.31,0.95,1.26,17.76,0.03,0.1,0.13,1.86,144.6,288.0,112.0,171.0,165.0,41.0,55.0,299.0,92.0,37.0,278.0,92.0,,,,26,,Lucas,Pires Silva,Lucas Pires,,,861,0,0,1,19,0,0,0,0,1,0,10,61,,,,0.0,0.1,1.99,1.05,6.38,22,39,51
196,u,0.0,0.0,4.0,679,170.0,0,0.0,0,0.0,0.0,616,220.0,0,0,0.0,586.0,216.0,0,0,0.0,486.0,190.0,0.0,0.0,0.0,202,0,9617,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,216.0,0.0,568.0,216.0,0.0,531.0,210.0,0.0,578.0,216.0,,,,26,,Shurandy,Sambo,Sambo,has joined Sparta Rotterdam on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
197,u,0.0,0.0,3.8,801,250.0,0,0.0,-2,2.0,0.2,355,127.0,13,0,1.9,335.0,124.0,0,20,0.0,421.0,163.0,0.0,3.4,0.0,34622,0,29371,197,0.0,0.0,0.55,0.08,0.63,3.79,0.3,0.04,0.34,2.08,44.8,403.0,151.0,18.1,388.0,140.0,30.0,344.0,111.0,9.2,409.0,147.0,,,,26,,Oliver,Sonne,Sonne,has joined Sparta Prague on loan for the rest of the season.,,164,1,0,0,4,0,0,0,0,0,0,1,10,,,,0.0,0.0,2.2,0.55,3.84,2,5,4
199,a,100.0,100.0,3.8,786,235.0,0,0.0,-2,2.0,0.1,417,152.0,10,3,1.4,417.0,149.0,0,23,0.6,301.0,107.0,0.2,2.6,0.0,18526,39,22203,31,0.6,0.6,0.0,0.02,0.02,5.82,0.0,0.01,0.01,2.15,42.4,405.0,152.0,0.8,465.0,171.0,2.0,428.0,159.0,4.6,443.0,161.0,,,,26,,Joe,Worrall,Worrall,,,244,0,0,0,5,0,0,0,0,0,0,2,38,,,,0.0,0.0,1.84,0.74,13.65,2,35,6
2,a,,,4.1,651,37.0,0,0.0,-4,4.0,0.4,279,36.0,0,0,0.0,630.0,85.0,0,0,0.0,534.0,77.0,0.0,0.0,0.0,13896,47,75324,79,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,85.0,0.0,612.0,73.0,0.0,578.0,59.0,0.0,622.0,85.0,,,,26,,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
200,a,100.0,100.0,5.0,259,158.0,0,0.0,-5,5.0,1.8,141,47.0,83,7,3.3,144.0,63.0,5,334,2.8,123.0,54.0,0.6,16.6,0.0,1206445,378,1078920,697,2.8,2.8,3.08,1.69,4.77,36.46,0.17,0.09,0.26,1.97,356.4,114.0,38.0,313.4,71.0,54.0,329.0,56.0,34.0,99.8,62.0,40.0,2.0,,,26,,Jaidon,Anthony,Anthony,,,1665,6,2,3,36,0,0,0,4,0,0,20,154,,,,0.0,0.16,1.95,1.08,8.32,29,33,92
201,u,0.0,0.0,5.4,162,99.0,0,0.0,-1,1.0,0.0,701,293.0,0,0,0.0,795.0,351.0,0,0,0.0,778.0,342.0,0.0,0.0,0.0,1070,0,3137,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,351.0,0.0,794.0,351.0,0.0,792.0,350.0,0.0,795.0,351.0,,,,26,,Manuel,Benson Hedilazio,Benson,has joined Maccabi Haifa permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
202,a,100.0,100.0,5.3,189,116.0,0,0.0,-2,2.0,0.0,625,244.0,34,1,1.6,392.0,174.0,0,101,0.6,322.0,142.0,0.1,6.4,0.0,5676,16,8288,20,0.6,0.6,1.24,1.06,2.3,20.73,0.12,0.11,0.23,2.06,106.0,328.0,149.0,178.6,157.0,109.0,123.0,205.0,113.0,40.8,263.0,130.0,3.0,1.0,3.0,26,,Jacob,Bruun Larsen,Bruun Larsen,,,904,0,1,3,23,0,0,0,0,0,0,9,58,,,,0.0,0.3,2.29,0.9,5.77,12,18,28
