id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
795,Harry,Howell,Howell,a,,,4.5,483,298.0,0.0,792,352.0,0.0,668.0,267.0,0,0,0.0,0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,718.0,300.0,,,716.0,298.0,711.0,298.0,694.0,293.0,716.0,298.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
773,Dean,Benamar,Benamar,a,,,4.0,717,206.0,0.0,744,254.0,0.0,533.0,220.0,0,0,0.0,0,0.0,3,5,0.0,0.0,0.0,0.0,0.0,609.0,239.0,,,597.0,238.0,592.0,239.0,559.0,234.0,601.0,239.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
780,Ben,Casey,Casey,a,,,4.5,498,69.0,0.0,725,86.0,0.0,680.0,70.0,0,0,0.0,0,0.0,23,16,0.0,0.0,0.0,0.0,0.0,729.0,79.0,,,728.0,79.0,723.0,78.0,706.0,78.0,728.0,79.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
793,George,King,King,a,,,4.0,706,195.0,0.0,756,257.0,0.0,525.0,212.0,0,0,0.0,0,0.0,9,6,0.0,0.0,0.0,0.0,0.0,601.0,231.0,,,589.0,230.0,584.0,231.0,550.0,225.0,592.0,230.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
798,Danny,Imray,Imray,a,,,4.0,684,178.0,0.0,788,261.0,0.0,505.0,197.0,0,0,0.0,0,0.0,7,0,0.0,0.0,0.0,0.0,0.0,582.0,217.0,,,570.0,216.0,565.0,217.0,530.0,210.0,573.0,216.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
483,Miodrag,Pivaš,Pivas,a,,,3.8,799,260.0,0.4,273,102.0,0.0,432.0,168.0,0,0,0.0,-2,2.0,26,106,0.0,0.0,-0.5,0.0,0.0,511.0,190.0,,,499.0,189.0,491.0,190.0,454.0,181.0,502.0,189.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
549,Dan,Neil,Neil,a,,,4.8,360,225.0,0.0,630,252.0,0.2,393.0,181.0,0,0,0.0,-2,2.0,2,5,0.0,0.6,0.2,0.2,1.0,466.0,218.0,,,461.0,213.0,441.0,215.0,723.0,312.0,472.0,218.0,,,,,,,,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,13.85,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
554,Abdoullah,Ba,Ba,a,,,4.3,581,340.0,0.4,280,94.0,0.0,562.0,195.0,0,0,0.0,-2,2.0,45,152,0.0,0.0,0.0,0.0,0.0,624.0,233.0,,,612.0,223.0,610.0,228.0,581.0,215.0,616.0,225.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
567,Antonín,Kinský,Kinsky,a,,,3.9,751,82.0,1.7,144,19.0,0.0,457.0,46.0,0,0,0.0,-1,1.0,50,273,0.0,0.0,-0.5,0.0,0.0,535.0,51.0,,,523.0,51.0,516.0,38.0,479.0,23.0,526.0,51.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
763,Charlie,Gray,Gray,a,,,4.5,449,271.0,0.0,777,341.0,0.0,643.0,248.0,0,0,0.0,0,0.0,1,3,0.0,0.0,0.5,0.5,0.0,694.0,282.0,,,689.0,277.0,686.0,279.0,666.0,271.0,690.0,278.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
764,Reigan,Heskey,Heskey,a,,,4.5,476,292.0,0.0,784,346.0,0.0,661.0,261.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.5,0.5,0.0,711.0,294.0,,,709.0,292.0,704.0,292.0,687.0,287.0,709.0,292.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
431,Altay,Bayındır,Bayindir,a,,,4.7,382,17.0,0.3,305,41.0,0.0,690.0,89.0,0,0,0.0,-3,3.0,30,25,0.0,2.3,0.0,-1.0,1.8,349.0,28.0,,,296.0,23.0,405.0,9.0,716.0,77.0,373.0,23.0,,,,,,,,0.0,0.01,0.01,1.54,2.17,0.0,1.83,1.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
432,André,Onana,Onana,u,has joined Trabzonspor on loan for the rest of the season.,,4.9,298,12.0,0.1,414,63.0,0.0,707.0,90.0,0,0,0.0,-1,1.0,0,2,0.0,0.0,0.0,0.0,0.0,746.0,90.0,0.0,0.0,745.0,90.0,741.0,87.0,732.0,81.0,745.0,90.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
433,Elyh,Harrison,Harrison,u,On loan to Shrewsbury Town,,4.0,703,62.0,0.0,785,91.0,0.0,522.0,75.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,598.0,80.0,0.0,0.0,586.0,80.0,581.0,69.0,547.0,54.0,589.0,80.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
434,Tom,Heaton,Heaton,a,,,3.9,720,63.0,0.3,331,45.0,0.0,435.0,28.0,0,0,0.0,-1,1.0,12,50,0.0,0.0,0.0,-1.0,0.0,514.0,33.0,,,502.0,33.0,494.0,19.0,457.0,4.0,505.0,33.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
176,Adrian,Mazilu,Mazilu,u,has joined Dinamo Bucharest permanently.,,4.5,457,279.0,0.0,673,279.0,0.0,648.0,253.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,699.0,287.0,0.0,0.0,694.0,282.0,691.0,284.0,671.0,276.0,695.0,283.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
177,Andrew,Moran,Moran,u,Has joined Los Angeles FC on loan for the rest of the season.,,4.5,446,268.0,0.0,682,285.0,0.0,640.0,245.0,0,0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,691.0,279.0,0.0,0.0,686.0,274.0,683.0,276.0,663.0,268.0,687.0,275.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
599,Dane,Scarlett,Scarlett,a,,,4.3,585,80.0,0.6,232,36.0,0.3,344.0,41.0,1,0,0.0,-2,2.0,142,120,0.1,0.5,-0.2,0.3,1.0,439.0,52.0,,,613.0,62.0,461.0,57.0,422.0,56.0,480.0,58.0,,,,,,,,0.0,0.13,0.13,0.51,0.0,0.0,0.0,0.0,12.86,23,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,295,265,0.0,0.0,0.01,0.01,0.04,0.0,0.1,0.0,0.0,0,0,1,1
21,Declan,Rice,Rice,a,,,7.4,22,15.0,31.4,8,2.0,4.7,25.0,11.0,0,0,0.0,9,-9.0,32311,4529,0.6,16.9,5.7,5.7,6.0,6.0,3.0,100.0,100.0,13.0,4.0,4.0,4.0,74.0,46.0,10.0,8.0,1.0,1.0,,,,,,0.14,0.21,0.35,0.62,0.0,0.5,0.66,1.01,10.89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97339,14269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
22,Mikel,Merino Zazón,Merino,a,,,5.5,139,87.0,1.4,156,53.0,1.0,288.0,127.0,0,0,0.0,-5,5.0,354,1487,0.2,10.7,2.0,2.0,3.0,192.0,83.0,,,171.0,67.0,131.0,94.0,103.0,62.0,132.0,72.0,,,,,,,,0.23,0.13,0.36,0.59,0.0,0.37,0.75,0.93,9.71,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,5815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
23,Fábio,Ferreira Vieira,Fábio Vieira,u,has joined Hamburger on loan for the rest of the season.,,5.4,169,106.0,0.0,670,276.0,0.0,768.0,339.0,0,0,0.0,-1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,782.0,346.0,0.0,0.0,782.0,346.0,781.0,346.0,777.0,345.0,782.0,346.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
738,Lukasz,Fabianski,Fabianski,d,Back injury - 25% chance of playing,,4.5,399,20.0,0.0,622,79.0,0.0,611.0,85.0,0,0,0.0,0,0.0,4,14,0.0,0.0,0.0,0.0,0.0,667.0,87.0,25.0,25.0,660.0,87.0,656.0,80.0,633.0,68.0,663.0,87.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
747,Ezra,Mayers,Mayers,a,,,4.0,708,197.0,0.0,646,225.0,0.5,318.0,114.0,0,0,0.0,0,0.0,13,10,0.1,1.2,0.5,0.5,1.0,435.0,161.0,,,422.0,160.0,344.0,120.0,383.0,140.0,417.0,151.0,,,,,,,,0.1,0.35,0.45,2.25,0.0,0.0,2.41,0.0,4.02,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
758,Mohamadou,Kanté,Mohamadou Kanté,a,,,4.5,497,309.0,0.0,732,312.0,0.2,388.0,178.0,0,0,0.0,0,0.0,9,6,0.0,0.7,0.2,0.2,1.0,460.0,213.0,,,453.0,207.0,395.0,197.0,412.0,204.0,451.0,206.0,,,,,,,,0.17,0.11,0.28,3.04,0.0,0.0,0.0,0.0,22.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
37,Lucas,Digne,Digne,a,,,4.5,402,73.0,1.6,149,58.0,2.0,194.0,73.0,0,0,0.0,0,0.0,229,468,0.4,14.4,2.0,2.0,3.1,164.0,66.0,100.0,100.0,178.0,73.0,73.0,15.0,199.0,51.0,136.0,44.0,2.0,2.0,,,,,,0.04,0.13,0.17,1.37,0.0,0.45,0.89,1.04,4.99,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
38,Ezri,Konsa Ngoyo,Konsa,a,,,4.4,516,104.0,7.4,55,17.0,2.5,145.0,55.0,0,0,0.0,-1,1.0,945,1556,0.6,14.5,2.5,2.5,3.0,183.0,71.0,100.0,100.0,77.0,33.0,265.0,81.0,238.0,66.0,175.0,56.0,,,,,,,,0.02,0.02,0.04,1.44,0.0,0.29,1.16,1.01,5.98,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260,6314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
