id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
341,a,,,3.9,722,65.0,0,0.0,-1,1.0,2.0,128,17.0,16,0,2.7,224.0,19.0,0,79,1.0,276.0,20.0,0.3,4.1,0.0,153579,475,242101,261,0.0,1.0,0.0,0.01,0.01,4.82,0.0,0.0,0.0,0.8,117.6,297.0,24.0,0.0,496.0,21.0,0.0,459.0,6.0,11.8,380.0,24.0,,,,23,,Karl,Darlow,Darlow,,,540,0,0,1,8,0,0,0,0,0,14,6,59,,,,2.33,0.17,1.33,1.0,0.0,0,8,59
361,u,0.0,0.0,4.5,434,261.0,0,0.0,0,0.0,0.0,654,268.0,0,0,0.0,685.0,273.0,0,0,0.0,633.0,238.0,0.0,0.0,0.0,1165,0,8309,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,267.0,0.0,677.0,270.0,0.0,656.0,262.0,0.0,681.0,269.0,,,,23,,Darko,Gyabi,Gyabi,has joined Hull City permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
362,a,100.0,100.0,4.9,315,55.0,0,0.0,-6,6.0,0.3,290,47.0,11,0,1.1,426.0,50.0,0,22,0.2,397.0,44.0,0.0,2.2,0.0,35956,32,215944,44,-0.8,0.2,0.65,0.08,0.73,4.77,0.29,0.04,0.33,2.14,6.0,448.0,52.0,20.7,373.0,46.0,90.0,224.0,43.0,11.2,388.0,48.0,,,2.0,23,,Joël,Piroe,Piroe,,,201,0,0,1,6,0,0,0,0,0,0,2,9,,,,0.0,0.45,2.69,0.9,4.03,0,1,8
363,u,0.0,0.0,4.9,286,54.0,0,0.0,-1,1.0,0.3,294,49.0,0,0,0.0,742.0,81.0,0,0,0.0,702.0,72.0,0.0,0.0,0.0,16144,0,201932,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,81.0,0.0,737.0,80.0,0.0,727.0,80.0,0.0,741.0,81.0,,,,23,,Patrick,Bamford,Bamford,has departed the club as a free agent.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
397,u,0.0,0.0,6.5,52,18.0,0,0.0,0,0.0,0.1,536,75.0,0,0,0.0,797.0,87.0,0,0,0.0,794.0,84.0,0.0,0.0,0.0,0,0,15883,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,87.0,0.0,797.0,87.0,0.0,797.0,87.0,0.0,797.0,87.0,,,,23,,Darwin,Núñez Ribeiro,Darwin,Has joined Al-Hilal permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
398,i,0.0,0.0,4.3,594,81.0,0,0.0,-2,2.0,0.1,465,66.0,0,0,0.0,628.0,63.0,0,0,0.0,566.0,53.0,0.0,0.0,0.0,8556,6,19011,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,63.0,0.0,614.0,62.0,0.0,586.0,62.0,0.0,620.0,63.0,,,,23,,Jayden,Danns,Danns,Hamstring injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
736,a,,,5.7,115,2.0,0,0.0,2,-2.0,9.7,45,7.0,79,8,4.0,72.0,6.0,2,343,3.7,64.0,5.0,0.6,13.9,0.0,1881244,1431,1015459,7859,4.2,4.2,0.0,0.0,0.0,22.13,0.0,0.0,0.0,1.11,387.8,73.0,14.0,0.0,790.0,91.0,0.0,788.0,90.0,38.9,250.0,14.0,,,,23,,Gianluigi,Donnarumma,Donnarumma,,,1800,0,0,9,17,0,1,0,5,0,44,20,55,,,,2.2,0.45,0.85,1.0,0.0,0,27,132
739,a,,,4.4,555,333.0,0,0.0,-1,1.0,0.0,662,272.0,2,0,1.0,448.0,202.0,0,5,0.2,381.0,171.0,0.0,0.5,0.0,3341,7,2696,13,0.7,0.7,0.0,0.21,0.21,0.34,0.0,0.76,0.76,1.22,4.2,454.0,208.0,28.3,357.0,186.0,4.0,409.0,202.0,3.7,436.0,198.0,,,,23,,Divine,Mukasa,Mukasa,,,25,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,3.6,0,0,1
740,a,,,3.9,761,224.0,0,0.0,-1,1.0,0.0,603,216.0,0,0,0.0,545.0,198.0,0,0,0.0,467.0,177.0,0.0,0.0,0.0,3067,6,3251,12,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,197.0,0.0,526.0,198.0,0.0,489.0,189.0,0.0,536.0,197.0,,,,23,,Stephen,Mfuni,Mfuni,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
742,a,,,4.5,495,307.0,0,0.0,0,0.0,0.0,719,307.0,0,0,0.0,725.0,306.0,0,0,0.0,676.0,274.0,0.0,0.0,0.0,1299,1,1066,6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,305.0,0.0,719.0,305.0,0.0,702.0,300.0,0.0,724.0,305.0,,,,23,,Ryan,McAidoo,McAidoo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
