code,id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,elo,fotmob_name
3,1,Arsenal,ARS,5,1300,1375,1340,1400,1260,1350,1,2063,Arsenal
7,2,Aston Villa,AVL,3,1145,1185,1150,1170,1140,1200,2,1917,Aston Villa
90,3,Burnley,BUR,3,1055,1095,1010,1090,1100,1100,43,1701,Burnley
91,4,Bournemouth,BOU,3,1150,1220,1100,1240,1200,1200,127,1808,AFC Bournemouth
94,5,Brentford,BRE,3,1135,1175,1100,1110,1170,1240,130,1840,Brentford
36,6,Brighton,BHA,3,1150,1160,1090,1110,1210,1210,131,1842,Brighton & Hove Albion
21,19,West Ham,WHU,3,1075,1075,1050,1050,1100,1100,25,1718,West Ham United
39,20,Wolves,WOL,3,1070,1085,1050,1050,1090,1120,38,1677,Wolverhampton Wanderers
8,7,Chelsea,CHE,3,1180,1190,1140,1160,1220,1220,4,1897,Chelsea
31,8,Crystal Palace,CRY,3,1165,1205,1150,1150,1180,1260,6,1796,Crystal Palace
11,9,Everton,EVE,3,1100,1130,1110,1130,1090,1130,7,1815,Everton
54,10,Fulham,FUL,3,1090,1130,1080,1140,1100,1120,34,1807,Fulham
2,11,Leeds,LEE,3,1095,1145,1080,1100,1110,1190,9,1765,Leeds United
14,12,Liverpool,LIV,4,1230,1265,1170,1210,1290,1320,10,1950,Liverpool
43,13,Man City,MCI,4,1250,1305,1210,1230,1290,1380,11,1955,Manchester City
1,14,Man Utd,MUN,3,1135,1205,1100,1150,1170,1260,12,1845,Manchester United
4,15,Newcastle,NEW,3,1160,1220,1170,1180,1150,1260,23,1885,Newcastle United
17,16,Nott'm Forest,NFO,3,1100,1130,1100,1110,1100,1150,15,1779,Nottingham Forest
56,17,Sunderland,SUN,3,1100,1145,1100,1120,1100,1170,29,1696,Sunderland
6,18,Spurs,TOT,3,1165,1175,1130,1150,1200,1200,21,1809,Tottenham Hotspur
