id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
764,Reigan,Heskey,Heskey,a,,,4.5,479,292.0,0.0,788,347.0,0.0,669.0,264.0,0,0,0.0,0,0.0,2,1,0.0,0.0,0.0,0.5,0.0,717.0,296.0,,,715.0,294.0,710.0,294.0,692.0,288.0,714.0,293.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
448,Tyrell,Malacia,Malacia,a,,,3.8,778,234.0,0.4,272,101.0,0.0,416.0,156.0,0,0,0.0,-2,2.0,23,72,0.0,0.3,0.0,0.0,1.0,434.0,157.0,,,462.0,168.0,479.0,176.0,441.0,167.0,477.0,170.0,,,,,,,,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,90.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,David,Raya Martín,Raya,a,,,5.9,93,1.0,33.2,7,1.0,4.0,50.0,2.0,6,0,0.0,4,-4.0,5840,1864,0.7,16.8,5.0,5.0,4.1,61.0,4.0,,,112.0,16.0,376.0,3.0,796.0,93.0,268.0,16.0,,,,,,,,0.0,0.0,0.0,0.69,1.38,0.5,0.71,1.0,0.0,24,6,90,0,0,1,0,0,0,0,0,0,1,1,0,24,7856,4805,0.0,0.0,0.0,0.0,0.14999999999999858,0.0,0.0,0.0,0.0,0,0,11,0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.1,646,38.0,0.4,273,36.0,0.0,540.0,77.0,0,0,0.0,-4,4.0,27,37,0.0,0.0,1.0,1.0,0.0,618.0,83.0,,,608.0,83.0,601.0,72.0,568.0,57.0,609.0,83.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
41,Pau,Torres,Pau,a,,,4.3,579,131.0,0.3,311,115.0,1.6,206.0,74.0,0,0,0.0,-2,2.0,116,42,0.4,10.9,1.6,1.6,3.4,126.0,47.0,100.0,100.0,195.0,78.0,354.0,125.0,308.0,99.0,292.0,97.0,,,,,,,,0.03,0.02,0.05,1.35,0.0,0.32,0.97,0.97,6.77,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
42,Andrés,García,A.García,i,Hamstring injury - Expected back 21 Feb,,3.9,771,228.0,0.2,359,131.0,0.2,366.0,136.0,0,0,0.0,-1,1.0,0,94,0.1,0.3,0.0,0.0,0.5,494.0,172.0,0.0,0.0,479.0,171.0,442.0,162.0,498.0,196.0,483.0,172.0,,,,,,,,0.0,0.03,0.03,4.56,0.0,0.0,6.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
43,Álex,Moreno Lopera,Alex Moreno,u,Has joined Girona permanently.,,4.0,653,159.0,1.7,145,57.0,0.0,477.0,187.0,0,0,0.0,0,0.0,0,104,0.0,0.0,0.0,0.0,0.0,558.0,205.0,0.0,0.0,548.0,205.0,540.0,205.0,504.0,198.0,548.0,204.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
44,Lamare,Bogarde,Bogarde,a,,,4.0,691,179.0,0.5,248,94.0,0.6,305.0,111.0,0,0,0.0,0,0.0,98,63,0.2,5.8,0.6,0.6,1.3,410.0,150.0,100.0,100.0,360.0,137.0,334.0,114.0,386.0,142.0,381.0,135.0,,,,,,,,0.0,0.02,0.02,1.44,0.0,0.17,1.21,0.87,5.02,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
45,Lino,da Cruz Sousa,Sousa,a,,,3.8,790,246.0,0.3,319,118.0,0.0,425.0,165.0,0,0,0.0,-2,2.0,102,24,0.0,0.0,0.0,0.0,0.0,509.0,186.0,,,498.0,185.0,487.0,184.0,449.0,175.0,498.0,184.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
46,Yasin,Özcan,Yasin,u,has joined Anderlecht on loan for the rest of the season.,,4.0,707,192.0,0.1,453,167.0,0.0,524.0,214.0,0,0,0.0,0,0.0,0,5,0.0,0.0,0.0,0.0,0.0,602.0,229.0,0.0,0.0,592.0,229.0,585.0,229.0,551.0,224.0,592.0,228.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
47,Morgan,Rogers,Rogers,a,,,7.7,19,14.0,31.6,10,3.0,3.6,67.0,28.0,0,0,0.0,7,-7.0,6130,6216,0.5,14.4,3.6,3.6,4.8,24.0,10.0,100.0,100.0,36.0,9.0,29.0,28.0,12.0,6.0,12.0,10.0,,,,,,,,0.19,0.11,0.3,1.44,0.0,0.31,1.1,1.01,6.11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13137,10183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
48,Youri,Tielemans,Tielemans,i,Ankle injury - Expected back 11 Apr,,5.9,94,59.0,0.9,194,64.0,3.0,104.0,45.0,0,0,0.0,-1,1.0,2,2278,0.5,8.8,0.0,0.0,3.1,179.0,78.0,0.0,0.0,124.0,43.0,30.0,29.0,145.0,84.0,71.0,45.0,3.0,,,,,,,0.07,0.18,0.25,1.6,0.0,0.28,1.18,1.04,9.59,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
49,Leon,Bailey,Bailey,a,,,5.5,142,88.0,0.1,503,178.0,0.2,402.0,186.0,0,0,0.0,0,0.0,47,6,0.0,0.2,0.2,0.2,1.0,484.0,229.0,100.0,100.0,455.0,207.0,439.0,211.0,403.0,198.0,461.0,213.0,,,,,,,,0.06,0.09,0.15,0.73,0.0,0.0,0.0,0.0,20.32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
