event,finished,league_entry_1,league_entry_1_points,league_entry_2,league_entry_2_points,started,winning_league_entry,winning_method
1,False,199836,0,115143,0,False,,
1,False,200030,0,137781,0,False,,
1,False,230074,0,134096,0,False,,
1,False,236125,0,133926,0,False,,
1,False,115580,0,115586,0,False,,
2,False,115143,0,115580,0,False,,
2,False,115586,0,236125,0,False,,
2,False,133926,0,230074,0,False,,
2,False,134096,0,200030,0,False,,
2,False,137781,0,199836,0,False,,
3,False,200030,0,115143,0,False,,
3,False,230074,0,199836,0,False,,
3,False,236125,0,137781,0,False,,
3,False,115580,0,134096,0,False,,
3,False,115586,0,133926,0,False,,
4,False,115143,0,115586,0,False,,
4,False,133926,0,115580,0,False,,
4,False,134096,0,236125,0,False,,
4,False,137781,0,230074,0,False,,
4,False,199836,0,200030,0,False,,
5,False,230074,0,115143,0,False,,
5,False,236125,0,200030,0,False,,
5,False,115580,0,199836,0,False,,
5,False,115586,0,137781,0,False,,
5,False,133926,0,134096,0,False,,
6,False,115143,0,133926,0,False,,
6,False,134096,0,115586,0,False,,
6,False,137781,0,115580,0,False,,
6,False,199836,0,236125,0,False,,
6,False,200030,0,230074,0,False,,
7,False,236125,0,115143,0,False,,
7,False,115580,0,230074,0,False,,
7,False,115586,0,200030,0,False,,
7,False,133926,0,199836,0,False,,
7,False,134096,0,137781,0,False,,
8,False,115143,0,134096,0,False,,
8,False,137781,0,133926,0,False,,
8,False,199836,0,115586,0,False,,
8,False,200030,0,115580,0,False,,
8,False,230074,0,236125,0,False,,
9,False,137781,0,115143,0,False,,
9,False,199836,0,134096,0,False,,
9,False,200030,0,133926,0,False,,
9,False,230074,0,115586,0,False,,
9,False,236125,0,115580,0,False,,
10,False,199836,0,115143,0,False,,
10,False,200030,0,137781,0,False,,
10,False,230074,0,134096,0,False,,
10,False,236125,0,133926,0,False,,
10,False,115580,0,115586,0,False,,
11,False,115143,0,115580,0,False,,
11,False,115586,0,236125,0,False,,
11,False,133926,0,230074,0,False,,
11,False,134096,0,200030,0,False,,
11,False,137781,0,199836,0,False,,
12,False,200030,0,115143,0,False,,
12,False,230074,0,199836,0,False,,
12,False,236125,0,137781,0,False,,
12,False,115580,0,134096,0,False,,
12,False,115586,0,133926,0,False,,
13,False,115143,0,115586,0,False,,
13,False,133926,0,115580,0,False,,
13,False,134096,0,236125,0,False,,
13,False,137781,0,230074,0,False,,
13,False,199836,0,200030,0,False,,
14,False,230074,0,115143,0,False,,
14,False,236125,0,200030,0,False,,
14,False,115580,0,199836,0,False,,
14,False,115586,0,137781,0,False,,
14,False,133926,0,134096,0,False,,
15,False,115143,0,133926,0,False,,
15,False,134096,0,115586,0,False,,
15,False,137781,0,115580,0,False,,
15,False,199836,0,236125,0,False,,
15,False,200030,0,230074,0,False,,
16,False,236125,0,115143,0,False,,
16,False,115580,0,230074,0,False,,
16,False,115586,0,200030,0,False,,
16,False,133926,0,199836,0,False,,
16,False,134096,0,137781,0,False,,
17,False,115143,0,134096,0,False,,
17,False,137781,0,133926,0,False,,
17,False,199836,0,115586,0,False,,
17,False,200030,0,115580,0,False,,
17,False,230074,0,236125,0,False,,
18,False,137781,0,115143,0,False,,
18,False,199836,0,134096,0,False,,
18,False,200030,0,133926,0,False,,
18,False,230074,0,115586,0,False,,
18,False,236125,0,115580,0,False,,
19,False,199836,0,115143,0,False,,
19,False,200030,0,137781,0,False,,
19,False,230074,0,134096,0,False,,
19,False,236125,0,133926,0,False,,
19,False,115580,0,115586,0,False,,
20,False,115143,0,115580,0,False,,
20,False,115586,0,236125,0,False,,
20,False,133926,0,230074,0,False,,
20,False,134096,0,200030,0,False,,
20,False,137781,0,199836,0,False,,
21,False,200030,0,115143,0,False,,
21,False,230074,0,199836,0,False,,
21,False,236125,0,137781,0,False,,
21,False,115580,0,134096,0,False,,
21,False,115586,0,133926,0,False,,
22,False,115143,0,115586,0,False,,
22,False,133926,0,115580,0,False,,
22,False,134096,0,236125,0,False,,
22,False,137781,0,230074,0,False,,
22,False,199836,0,200030,0,False,,
23,False,230074,0,115143,0,False,,
23,False,236125,0,200030,0,False,,
23,False,115580,0,199836,0,False,,
23,False,115586,0,137781,0,False,,
23,False,133926,0,134096,0,False,,
24,False,115143,0,133926,0,False,,
24,False,134096,0,115586,0,False,,
24,False,137781,0,115580,0,False,,
24,False,199836,0,236125,0,False,,
24,False,200030,0,230074,0,False,,
25,False,236125,0,115143,0,False,,
25,False,115580,0,230074,0,False,,
25,False,115586,0,200030,0,False,,
25,False,133926,0,199836,0,False,,
25,False,134096,0,137781,0,False,,
26,False,115143,0,134096,0,False,,
26,False,137781,0,133926,0,False,,
26,False,199836,0,115586,0,False,,
26,False,200030,0,115580,0,False,,
26,False,230074,0,236125,0,False,,
27,False,137781,0,115143,0,False,,
27,False,199836,0,134096,0,False,,
27,False,200030,0,133926,0,False,,
27,False,230074,0,115586,0,False,,
27,False,236125,0,115580,0,False,,
28,False,199836,0,115143,0,False,,
28,False,200030,0,137781,0,False,,
28,False,230074,0,134096,0,False,,
28,False,236125,0,133926,0,False,,
28,False,115580,0,115586,0,False,,
29,False,115143,0,115580,0,False,,
29,False,115586,0,236125,0,False,,
29,False,133926,0,230074,0,False,,
29,False,134096,0,200030,0,False,,
29,False,137781,0,199836,0,False,,
30,False,200030,0,115143,0,False,,
30,False,230074,0,199836,0,False,,
30,False,236125,0,137781,0,False,,
30,False,115580,0,134096,0,False,,
30,False,115586,0,133926,0,False,,
31,False,115143,0,115586,0,False,,
31,False,133926,0,115580,0,False,,
31,False,134096,0,236125,0,False,,
31,False,137781,0,230074,0,False,,
31,False,199836,0,200030,0,False,,
32,False,230074,0,115143,0,False,,
32,False,236125,0,200030,0,False,,
32,False,115580,0,199836,0,False,,
32,False,115586,0,137781,0,False,,
32,False,133926,0,134096,0,False,,
33,False,115143,0,133926,0,False,,
33,False,134096,0,115586,0,False,,
33,False,137781,0,115580,0,False,,
33,False,199836,0,236125,0,False,,
33,False,200030,0,230074,0,False,,
34,False,236125,0,115143,0,False,,
34,False,115580,0,230074,0,False,,
34,False,115586,0,200030,0,False,,
34,False,133926,0,199836,0,False,,
34,False,134096,0,137781,0,False,,
35,False,115143,0,134096,0,False,,
35,False,137781,0,133926,0,False,,
35,False,199836,0,115586,0,False,,
35,False,200030,0,115580,0,False,,
35,False,230074,0,236125,0,False,,
36,False,137781,0,115143,0,False,,
36,False,199836,0,134096,0,False,,
36,False,200030,0,133926,0,False,,
36,False,230074,0,115586,0,False,,
36,False,236125,0,115580,0,False,,
37,False,199836,0,115143,0,False,,
37,False,200030,0,137781,0,False,,
37,False,230074,0,134096,0,False,,
37,False,236125,0,133926,0,False,,
37,False,115580,0,115586,0,False,,
38,False,115143,0,115580,0,False,,
38,False,115586,0,236125,0,False,,
38,False,133926,0,230074,0,False,,
38,False,134096,0,200030,0,False,,
38,False,137781,0,199836,0,False,,
