id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,element_type,team
1,0,10,555,13,10.7,34,0,76.7,755.4,3420,0,0,0,0,86,0.0,3,38,0.00,0.03,0.03,35.03,2025-07-20T23:14:20.847821Z,,,154561,116,0,4.5,,0,David,0.0,False,,,,,3.7,Raya Martín,,a,142,Raya,37,8,342,11,642,80,178,8,470.0,74.0,68.0,11.0,,,,,,,1,1
2,0,7,406,8,10.4,39,0,75.8,744.4,2790,0,0,0,0,97,4.0,3,31,0.06,0.03,0.09,38.83,2025-07-20T23:14:20.851790Z,,,109745,393,0,2.8,,0,Kepa,0.0,False,,,,,3.4,Arrizabalaga Revuelta,,a,106,Arrizabalaga,38,9,344,12,333,1,183,9,142.0,49.0,94.0,16.0,,,,,,,1,1
3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.854758Z,,,463748,585,0,1.5,,0,Karl,0.0,False,,,,,0.0,Hein,,a,0,Hein,438,55,428,46,397,31,438,55,56.0,27.0,438.0,53.0,,,,,,,1,1
4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.857598Z,,,551221,662,0,1.5,,0,Tommy,0.0,False,,,,,0.0,Setford,,a,0,Setford,472,66,463,57,437,44,472,66,99.0,40.0,472.0,64.0,,,,,,,1,1
5,2,9,459,10,208.8,22,3,108.2,584.6,2363,0,0,0,0,0,287.0,4,28,2.70,1.21,3.91,23.09,2025-07-20T23:14:20.860426Z,,,226597,81,0,4.5,,0,Gabriel,0.0,False,,,,,4.2,dos Santos Magalhães,,a,117,Gabriel,96,32,167,36,107,12,121,31,570.0,216.0,32.0,1.0,,,,,,,2,1
6,0,14,564,12,150.1,29,2,94.2,672.6,3039,0,0,0,1,0,116.0,2,35,2.42,1.28,3.70,30.32,2025-07-20T23:14:20.863206Z,,,462424,86,0,4.5,,0,William,0.0,False,,,,,3.7,Saliba,,a,130,Saliba,59,21,203,55,209,62,139,36,575.0,218.0,70.0,11.0,,,,,,,2,1
7,1,1,142,1,118.2,12,2,54.6,252.6,978,0,0,0,0,0,176.0,4,11,0.86,0.69,1.55,10.28,2025-07-20T23:14:20.865942Z,,,466075,156,0,3.8,,0,Riccardo,0.0,False,,,,,2.1,Calafiori,,a,39,Calafiori,222,80,221,65,167,35,230,68,520.0,206.0,236.0,83.0,,,,,,,2,1
8,3,9,426,11,296.8,21,1,94.2,393.0,2415,0,0,0,0,0,254.0,7,27,1.23,1.30,2.53,21.09,2025-07-20T23:14:20.868571Z,,,445122,134,0,3.8,,0,Jurriën,0.0,False,,,,,3.8,Timber,,a,114,J.Timber,162,56,123,24,117,15,138,35,516.0,204.0,59.0,6.0,,,,,,,2,1
9,0,2,178,3,91.3,15,1,39.2,267.2,1117,0,0,0,0,0,32.0,1,10,0.17,0.29,0.46,14.71,2025-07-20T23:14:20.871241Z,,,440854,194,0,3.8,,0,Jakub,0.0,False,,,,,2.5,Kiwior,,a,43,Kiwior,214,77,244,82,286,102,261,88,511.0,202.0,187.0,65.0,,,,,,,2,1
10,0,0,237,5,170.7,16,1,40.0,176.0,1362,0,0,0,2,0,57.0,3,15,0.16,0.51,0.67,16.65,2025-07-20T23:14:20.873941Z,,,499169,123,0,3.8,,0,Myles,0.0,False,,,,,1.6,Lewis-Skelly,,a,37,Lewis-Skelly,268,99,193,49,257,90,258,85,531.0,209.0,297.0,105.0,,,,,,,2,1
11,2,0,211,5,162.6,13,0,51.0,247.6,1195,0,0,0,0,0,100.0,2,13,0.46,1.30,1.76,16.88,2025-07-20T23:14:20.876551Z,,,198869,150,0,3.8,,0,Benjamin,0.0,False,,,,,2.9,White,,a,50,White,225,82,197,51,222,72,237,72,480.0,196.0,142.0,41.0,,,,,,,2,1
12,1,2,141,4,92.8,1,0,24.1,83.4,518,0,0,0,0,0,66.0,1,5,0.65,0.52,1.17,3.21,2025-07-20T23:14:20.879225Z,,,206325,269,0,3.1,,0,Oleksandr,0.0,False,,,,,2.7,Zinchenko,,a,40,Zinchenko,312,115,243,81,250,85,294,105,361.0,168.0,167.0,53.0,,,,,,,2,1
13,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.881915Z,,,563324,580,0,1.5,,0,Brayden,0.0,False,,,,,0.0,Clarke,,a,0,Clarke,475,190,466,189,440,185,475,190,102.0,62.0,475.0,189.0,,,,,,,2,1
14,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.884824Z,,,588793,625,0,1.5,,0,Maldini,0.0,False,,,,,0.0,Kacurri,,a,0,Kacurri,481,193,472,192,448,190,481,193,112.0,69.0,481.0,192.0,,,,,,,2,1
15,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.887570Z,,,499167,635,0,1.5,,0,Josh,0.0,False,,,,,0.0,Nichols,,a,0,Nichols,456,175,446,173,417,167,456,175,77.0,42.0,457.0,175.0,,,,,,,2,1
16,11,18,508,7,842.8,21,6,227.9,606.0,1724,0,0,0,0,0,830.0,3,20,6.87,7.78,14.65,17.72,2025-07-20T23:14:20.890259Z,,,223340,5,0,3.5,,0,Bukayo,0.0,False,,,,,5.1,Saka,,a,127,Saka,87,36,16,15,23,13,14,10,655.0,295.0,11.0,6.0,,,,,,,3,1
