element,in_accepted_trade,owner,status
170,False,,a
434,False,,a
218,False,,a
138,False,,a
185,False,,a
73,False,,a
124,False,,a
263,False,,a
187,False,,a
341,False,,a
420,False,,a
294,False,,a
457,False,,a
470,False,,a
66,False,,a
33,False,,a
529,False,,a
331,False,,a
629,False,,a
302,False,,a
471,False,,a
601,False,,a
146,False,,a
600,False,,a
667,False,,a
579,False,,a
663,False,,a
632,False,,a
400,False,,a
55,False,,a
514,False,,a
422,False,,a
442,False,,a
409,False,,a
340,False,,a
480,False,,a
614,False,,a
37,False,,a
627,False,,a
43,False,,a
363,False,,a
443,False,,a
270,False,,a
159,False,,a
604,False,,a
2,False,,a
153,False,,a
86,False,,a
472,False,,a
152,False,,a
479,False,,a
346,False,,a
489,False,,a
571,False,,a
20,False,,a
254,False,,a
401,False,,a
54,False,,a
545,False,,a
24,False,,a
570,False,,a
630,False,,a
40,False,,a
617,False,,a
61,False,,a
272,False,,a
495,False,,a
336,False,,a
329,False,,a
674,False,,a
429,False,,a
88,False,,a
369,False,,a
264,False,,a
327,False,,a
87,False,,a
659,False,,a
392,False,,a
326,False,,a
319,False,,a
322,False,,a
539,False,,a
209,False,,a
98,False,,a
89,False,,a
484,False,,a
316,False,,a
255,False,,a
376,False,,a
555,False,,a
205,False,,a
581,False,,a
206,False,,a
365,False,,a
317,False,,a
451,False,,a
202,False,,a
493,False,,a
198,False,,a
490,False,,a
647,False,,a
201,False,,a
455,False,,a
328,False,,a
642,False,,a
108,False,,a
186,False,,a
109,False,,a
22,False,,a
50,False,,a
618,False,,a
11,False,,a
354,False,,a
285,False,,a
36,False,,a
494,False,,a
353,False,,a
27,False,,a
85,False,,a
665,False,,a
84,False,,a
487,False,,a
585,False,,a
143,False,,a
147,False,,a
125,False,,a
512,False,,a
522,False,,a
284,False,,a
31,False,,a
12,False,,a
330,False,,a
126,False,,a
199,False,,a
516,False,,a
456,False,,a
140,False,,a
325,False,,a
436,False,,a
271,False,,a
521,False,,a
607,False,,a
332,False,,a
