id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,element_type,team
1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.847821Z,,,154561,116,0,4.5,,0,David,0.0,False,,,,,0.0,Raya Martín,,a,0,Raya,504,80,505,80,502,80,505,80,470,74,68,11,,,,,,,1,1
2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.851790Z,,,109745,394,0,2.8,,0,Kepa,0.0,False,,,,,0.0,Arrizabalaga Revuelta,,a,0,Arrizabalaga,172,53,171,51,163,51,173,53,142,49,94,16,,,,,,,1,1
3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.854758Z,,,463748,590,0,1.5,,0,Karl,0.0,False,,,,,0.0,Hein,,a,0,Hein,88,31,87,29,78,29,89,31,56,27,438,53,,,,,,,1,1
4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.857598Z,,,551221,667,0,1.5,,0,Tommy,0.0,False,,,,,0.0,Setford,,a,0,Setford,130,44,129,42,121,42,131,44,99,40,472,64,,,,,,,1,1
5,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.860426Z,,,226597,81,0,4.5,,0,Gabriel,0.0,False,,,,,0.0,dos Santos Magalhães,,a,0,Gabriel,602,225,603,225,602,224,603,225,570,216,32,1,,,,,,,2,1
6,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.863206Z,,,462424,86,0,4.5,,0,William,0.0,False,,,,,0.0,Saliba,,a,0,Saliba,608,227,609,227,608,226,609,227,575,218,70,11,,,,,,,2,1
7,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.865942Z,,,466075,156,0,3.8,,0,Riccardo,0.0,False,,,,,0.0,Calafiori,,a,0,Calafiori,553,217,554,217,553,216,554,217,520,206,236,83,,,,,,,2,1
8,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.868571Z,,,445122,134,0,3.8,,0,Jurriën,0.0,False,,,,,0.0,Timber,,a,0,J.Timber,549,215,550,215,549,214,550,215,516,204,59,6,,,,,,,2,1
9,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.871241Z,,,440854,194,0,3.8,,0,Jakub,0.0,False,,,,,0.0,Kiwior,,a,0,Kiwior,544,213,545,213,544,212,545,213,511,202,187,65,,,,,,,2,1
10,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.873941Z,,,499169,123,0,3.8,,0,Myles,0.0,False,,,,,0.0,Lewis-Skelly,,a,0,Lewis-Skelly,564,220,565,220,564,219,565,220,531,209,297,105,,,,,,,2,1
11,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.876551Z,,,198869,150,0,3.8,,0,Benjamin,0.0,False,,,,,0.0,White,,a,0,White,514,208,515,208,512,206,515,208,480,196,142,41,,,,,,,2,1
12,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.879225Z,,,206325,269,0,3.1,,0,Oleksandr,0.0,False,,,,,0.0,Zinchenko,,a,0,Zinchenko,391,178,391,178,388,176,392,178,361,168,167,53,,,,,,,2,1
13,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.881915Z,,,563324,585,0,1.5,,0,Brayden,0.0,False,,,,,0.0,Clarke,,a,0,Clarke,133,74,132,74,124,69,134,74,102,62,475,189,,,,,,,2,1
14,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.884824Z,,,588793,630,0,1.5,,0,Maldini,0.0,False,,,,,0.0,Kacurri,,a,0,Kacurri,143,81,142,81,134,76,144,81,112,69,481,192,,,,,,,2,1
15,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.887570Z,,,499167,640,0,1.5,,0,Josh,0.0,False,,,,,0.0,Nichols,,a,0,Nichols,108,54,107,54,99,49,109,54,77,42,457,175,,,,,,,2,1
16,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.890259Z,,,223340,5,0,3.5,,0,Bukayo,0.0,False,,,,,0.0,Saka,,a,0,Saka,684,305,684,305,684,305,684,305,655,295,11,6,,,,,,,3,1
